iter	Passed	Remaining
416	2809	3927
417	2814	3918
418	2819	3909
419	2824	3900
420	2831	3894
421	2844	3895
422	2851	3889
423	2856	3880
424	2866	3878
425	2874	3872
426	2880	3865
427	2887	3859
428	2892	3849
429	2905	3851
430	2909	3841
431	2915	3833
432	2920	3824
433	2925	3815
434	2932	3809
435	2940	3803
436	2946	3795
437	2953	3789
438	2958	3780
439	2967	3777
440	2976	3773
441	2982	3765
442	2990	3760
443	2995	3751
444	3000	3742
445	3005	3733
446	3012	3726
447	3019	3720
448	3025	3713
449	3032	3706
450	3039	3699
451	3046	3693
452	3056	3690
453	3066	3687
454	3071	3678
455	3077	3671
456	3082	3663
457	3091	3658
458	3096	3649
459	3104	3644
460	3113	3640
461	3118	3631
462	3123	3622
463	3130	3616
464	3136	3609
465	3141	3599
466	3146	3590
467	3150	3581
468	3155	3572
469	3160	3564
470	3166	3556
471	3170	3546
472	3175	3538
473	3180	3529
474	3187	3522
475	3191	3513
476	3196	3504
477	3202	3497
478	3209	3490
479	3217	3485
480	3224	3478
481	3232	3473
482	3242	3470
483	3249	3464
484	3253	3455
485	3258	3446
486	3268	3443
487	3273	3434
488	3280	3427
489	3288	3422
490	3293	3414
491	3299	3407
492	3304	3398
493	3309	3389
494	3313	3380
495	3322	3375
496	3328	3368
497	3339	3365
498	3345	3359
499	3350	3350
500	3361	3347
501	3367	3340
502	3374	3334
503	3380	3327
504	3387	3320
505	3393	3313
506	3402	3308
507	3408	3301
508	3415	3294
509	3420	3286
510	3428	3280
511	3433	3272
512	3437	3263
513	3443	3256
514	3448	3247
515	3455	3240
516	3463	3235
517	3469	3228
518	3476	3222
519	3482	3214
520	3489	3208
521	3495	3200
522	3500	3192
523	3505	3184
524	3511	3177
525	3516	3169
526	3523	3162
527	3528	3154
528	3538	3150
529	3546	3144
530	3555	3139
531	3563	3134
532	3567	3126
533	3577	3122
534	3582	3113
535	3591	3108
536	3596	3100
537	3604	3095
538	3608	3086
539	3615	3079
540	3621	3072
541	3633	3070
542	3641	3065
543	3649	3059
544	3656	3052
545	3660	3044
546	3665	3035
547	3670	3027
548	3674	3018
549	3679	3010
550	3687	3004
551	3692	2996
552	3698	2989
553	3703	2981
554	3708	2973
555	3713	2965
556	3717	2956
557	3722	2948
558	3727	2940
559	3735	2935
560	3741	2928
561	3749	2922
562	3754	2914
563	3762	2908
564	3769	2902
565	3774	2894
566	3785	2890
567	3789	2882
568	3794	2874
569	3799	2866
570	3807	2860
571	3811	2852
572	3816	2844
573	3821	2836
574	3826	2828
575	3831	2820
576	3837	2813
577	3846	2808
578	3853	2801
579	3859	2795
580	3866	2788
581	3871	2780
582	3875	2772
583	3886	2768
584	3891	2760
585	3895	2752
586	3900	2744
587	3905	2736
588	3909	2728
589	3918	2722
590	3924	2715
591	3928	2707
592	3934	2700
593	3939	2692
594	3945	2685
595	3950	2677
596	3957	2671
597	3961	2663
598	3966	2655
599	3973	2649
600	3978	2641
601	3983	2633
602	3990	2627
603	4000	2622
604	4012	2619
605	4018	2612
606	4027	2607
607	4032	2599
608	4037	2592
609	4043	2585
610	4048	2577
611	4054	2570
612	4059	2562
613	4067	2557
614	4074	2550
615	4078	2542
616	4085	2536
617	4092	2529
618	4098	2522
619	4106	2516
620	4111	2509
621	4117	2502
622	4124	2496
623	4133	2490
624	4139	2483
625	4144	2476
626	4149	2468
627	4153	2460
628	4158	2452
629	4163	2445
630	4169	2438
631	4174	2430
632	4179	2423
633	4185	2416
634	4190	2408
635	4196	2401
636	4201	2394
637	4206	2386
638	4216	2381
639	4221	2374
640	4225	2366
641	4230	2359
642	4242	2355
643	4249	2349
644	4256	2342
645	4264	2336
646	4271	2330
647	4279	2324
648	4286	2318
649	4290	2310
650	4295	2302
651	4300	2295
652	4304	2287
653	4311	2280
654	4319	2275
655	4325	2268
656	4332	2261
657	4340	2256
658	4345	2248
659	4355	2243
660	4361	2237
661	4366	2229
662	4373	2222
663	4377	2215
664	4384	2208
665	4389	2201
666	4394	2193
667	4400	2187
668	4405	2179
669	4412	2173
670	4420	2167
671	4425	2159
672	4431	2153
673	4436	2145
674	4444	2140
675	4453	2134
676	4460	2127
677	4464	2120
678	4469	2113
679	4478	2107
680	4482	2099
681	4491	2094
682	4501	2089
683	4509	2083
684	4516	2076
685	4524	2070
686	4530	2064
687	4535	2056
688	4542	2050
689	4548	2043
690	4553	2036
691	4558	2029
692	4563	2021
693	4570	2015
694	4575	2007
695	4585	2002
696	4593	1996
697	4598	1989
698	4609	1984
699	4615	1978
700	4623	1972
701	4630	1965
702	4636	1958
703	4641	1951
704	4646	1944
705	4652	1937
706	4658	1930
707	4665	1924
708	4675	1918
709	4680	1911
710	4686	1905
711	4696	1899
712	4701	1892
713	4709	1886
714	4717	1880
715	4722	1873
716	4727	1865
717	4735	1859
718	4741	1853
719	4749	1847
720	4758	1841
721	4762	1833
722	4772	1828
723	4779	1821
724	4787	1815
725	4793	1809
726	4799	1802
727	4805	1795
728	4810	1788
729	4815	1780
730	4823	1774
731	4831	1768
732	4836	1761
733	4842	1754
734	4847	1747
735	4851	1740
736	4858	1733
737	4863	1726
738	4869	1719
739	4876	1713
740	4881	1706
741	4890	1700
742	4894	1693
743	4899	1685
744	4906	1679
745	4912	1672
746	4917	1665
747	4922	1658
748	4927	1651
749	4935	1645
750	4942	1638
751	4946	1631
752	4953	1624
753	4958	1617
754	4962	1610
755	4969	1603
756	4977	1597
757	4984	1591
758	4992	1585
759	4998	1578
760	5005	1571
761	5009	1564
762	5014	1557
763	5019	1550
764	5024	1543
765	5029	1536
766	5033	1529
767	5038	1522
768	5045	1515
769	5050	1508
770	5057	1502
771	5062	1495
772	5069	1488
773	5074	1481
774	5079	1474
775	5084	1467
776	5091	1461
777	5096	1454
778	5101	1447
779	5113	1442
780	5119	1435
781	5124	1428
782	5132	1422
783	5139	1415
784	5143	1408
785	5153	1403
786	5158	1396
787	5163	1389
788	5171	1382
789	5179	1376
790	5185	1370
791	5192	1363
792	5199	1357
793	5204	1350
794	5208	1343
795	5213	1336
796	5222	1330
797	5226	1323
798	5233	1316
799	5238	1309
800	5248	1303
801	5253	1296
802	5259	1290
803	5264	1283
804	5270	1276
805	5278	1270
806	5287	1264
807	5291	1257
808	5299	1251
809	5303	1244
810	5308	1237
811	5313	1230
812	5325	1224
813	5330	1217
814	5336	1211
815	5343	1204
816	5352	1198
817	5359	1192
818	5364	1185
819	5372	1179
820	5377	1172
821	5383	1165
822	5387	1158
823	5392	1151
824	5401	1145
825	5407	1139
826	5412	1132
827	5420	1126
828	5425	1119
829	5433	1112
830	5438	1106
831	5443	1099
832	5453	1093
833	5461	1087
834	5467	1080
835	5473	1073
836	5482	1067
837	5488	1061
838	5495	1054
839	5500	1047
840	5505	1040
841	5513	1034
842	5517	1027
843	5524	1021
844	5531	1014
845	5536	1007
846	5543	1001
847	5551	995
848	5558	988
849	5568	982
850	5574	975
851	5582	969
852	5587	962
853	5592	956
854	5599	949
855	5604	942
856	5611	936
857	5618	929
858	5623	923
859	5630	916
860	5638	910
861	5646	904
862	5651	897
863	5658	890
864	5663	883
865	5671	877
866	5677	870
867	5686	864
868	5692	858
869	5699	851
870	5704	844
871	5709	838
872	5715	831
873	5724	825
874	5731	818
875	5737	812
876	5747	806
877	5752	799
878	5757	792
879	5764	786
880	5770	779
881	5778	773
882	5783	766
883	5788	759
884	5798	753
885	5806	747
886	5811	740
887	5818	733
888	5822	727
889	5827	720
890	5833	713
891	5838	706
892	5843	700
893	5848	693
894	5858	687
895	5866	680
896	5873	674
897	5881	668
898	5886	661
899	5892	654
900	5897	648
901	5907	641
902	5912	635
903	5922	628
904	5926	622
905	5931	615
906	5939	609
907	5946	602
908	5953	595
909	5959	589
910	5966	582
911	5976	576
912	5981	569
913	5985	563
914	5993	556
915	5998	550
916	6003	543
917	6008	536
918	6015	530
919	6020	523
920	6030	517
921	6035	510
922	6039	503
923	6044	497
924	6049	490
925	6054	483
926	6060	477
927	6065	470
928	6070	463
929	6078	457
930	6086	451
931	6091	444
932	6096	437
933	6100	431
934	6107	424
935	6111	417
936	6118	411
937	6128	405
938	6133	398
939	6139	391
940	6146	385
941	6150	378
942	6155	372
943	6161	365
944	6168	359
945	6173	352
946	6180	345
947	6189	339
948	6194	332
949	6201	326
950	6206	319
951	6211	313
952	6216	306
953	6223	300
954	6228	293
955	6234	286
956	6238	280
957	6243	273
958	6248	267
959	6253	260
960	6260	254
961	6264	247
962	6269	240
963	6277	234
964	6282	227
965	6288	221
966	6297	214
967	6303	208
968	6309	201
969	6314	195
970	6318	188
971	6325	182
972	6332	175
973	6336	169
974	6343	162
975	6351	156
976	6358	149
977	6362	143
978	6367	136
979	6376	130
980	6382	123
981	6387	117
982	6392	110
983	6396	104
984	6405	97
985	6410	91
986	6414	84
987	6421	77
988	6429	71
989	6436	65
990	6444	58
991	6454	52
992	6464	45
993	6472	39
994	6477	32
995	6484	26
996	6489	19
997	6494	13
998	6502	6
999	6507	0
