iter	Logloss
0	0.6915940261
1	0.6900449395
2	0.6886692106
3	0.687746549
4	0.6863764039
5	0.684840988
6	0.6837354628
7	0.6822069693
8	0.6806824833
9	0.6796793513
10	0.678633591
11	0.6771184763
12	0.675607336
13	0.6747069084
14	0.6739012319
15	0.6727734942
16	0.6712737551
17	0.6699426483
18	0.66845034
19	0.6674700667
20	0.6659842505
21	0.6648293316
22	0.6633504508
23	0.6620382797
24	0.6605667308
25	0.6594667443
26	0.6580019522
27	0.6571319406
28	0.6559960335
29	0.6548626608
30	0.6537745611
31	0.653001697
32	0.6515538999
33	0.6501099098
34	0.6498295093
35	0.648390054
36	0.6469543848
37	0.645522492
38	0.6440943661
39	0.6426699976
40	0.6412493771
41	0.6402318287
42	0.6388176247
43	0.6375639666
44	0.6363133892
45	0.6349094998
46	0.6338626806
47	0.6324652436
48	0.6312264638
49	0.6301876276
50	0.6287998685
51	0.6277244767
52	0.6265384504
53	0.6258079135
54	0.6251635783
55	0.6237890536
56	0.6228509005
57	0.6219558164
58	0.6210214618
59	0.6199629012
60	0.6186020812
61	0.6172448474
62	0.6163598482
63	0.6155607505
64	0.6142115327
65	0.6131414452
66	0.6119489689
67	0.6107594261
68	0.609422866
69	0.6080898299
70	0.6072220246
71	0.6062331128
72	0.6049084877
73	0.6035873555
74	0.6024180243
75	0.6014384815
76	0.6003135422
77	0.5991518093
78	0.5981793001
79	0.596875916
80	0.59557597
81	0.5944255974
82	0.5931321152
83	0.5922918594
84	0.591004006
85	0.5900487163
86	0.5890945347
87	0.5878151167
88	0.587143816
89	0.5863949667
90	0.5851226718
91	0.5838537338
92	0.5831105031
93	0.5818468749
94	0.5815456445
95	0.5808064622
96	0.5795489151
97	0.5782946863
98	0.577444199
99	0.5764789433
100	0.5757471507
101	0.5746820674
102	0.5737603862
103	0.5729560363
104	0.5721145384
105	0.5708799286
106	0.5696485768
107	0.5684204743
108	0.5671956125
109	0.565973983
110	0.5647555771
111	0.5635403863
112	0.5624666247
113	0.5612574742
114	0.5600515143
115	0.5588487366
116	0.5579968413
117	0.5569729218
118	0.5560880046
119	0.5552049179
120	0.5540149288
121	0.5531359179
122	0.5519513879
123	0.5510404466
124	0.5498614457
125	0.5492483147
126	0.5484532719
127	0.5475479065
128	0.5466822871
129	0.5455147836
130	0.5446895368
131	0.5435272897
132	0.5427792054
133	0.5416219974
134	0.5404678416
135	0.5393167297
136	0.5383007044
137	0.5371553081
138	0.5369454124
139	0.5358035899
140	0.5348311603
141	0.5340631628
142	0.5334042362
143	0.5324011966
144	0.5316730933
145	0.5309102694
146	0.5297843598
147	0.5287907927
148	0.5282103838
149	0.5270915916
150	0.5270109912
151	0.5269305205
152	0.525815101
153	0.5250649299
154	0.5239544278
155	0.5233806773
156	0.5222746135
157	0.5211714641
158	0.5204291326
159	0.5200151096
160	0.5189179138
161	0.5179501356
162	0.5169849031
163	0.5164216972
164	0.5156203815
165	0.5146606216
166	0.5137032888
167	0.51274812
168	0.5116700659
169	0.5105948502
